customer_id,company,industry,region,plan,seats,mrr,signup_date,last_active_date,support_tickets_90d,nps_score,churned,churn_reason,feedback
C00001,Quantum Works,Manufacturing,EMEA,Growth,51,2775.61,2025-07-02,2026-08-27,0,6,0,,No phone support and email replies take forever.
C00002,Stellar Capital,Retail,NA,Starter,3,87.71,2026-01-24,2026-08-25,4,6,0,,We opened four tickets for the same bug and got four different answers. Renewal is unlikely.
C00003,Atlas Robotics,Media,EMEA,Starter,9,253.43,2024-01-13,2026-08-29,2,8,0,,We sync with our warehouse nightly and it mostly works. We will see how the next release goes.
C00004,Cobalt Analytics Inc,Education,NA,Enterprise,111,9490.1,2024-01-28,2026-07-24,7,2,1,Company downsized,Too expensive compared with the alternatives we evaluated.
C00005,Mosaic Supply Co,SaaS,NA,Starter,14,415.99,2023-08-11,2026-04-26,0,8,1,Low usage / no longer needed,"Setup took longer than expected, mostly on our side."
C00006,Copperfield Digital,Logistics,EMEA,Starter,5,148.15,2023-08-21,2026-08-16,5,5,0,,The mobile app crashes whenever we open a large report.
C00007,Atlas Labs Ltd,Manufacturing,EMEA,Starter,10,288.25,2024-12-06,2026-03-30,9,2,1,Too expensive,We pay for features we never use; the plan tiers make no sense. It has been a disappointing year.
C00008,Cobalt Partners Inc,Manufacturing,APAC,Enterprise,132,11592.5,2026-03-28,2026-08-15,0,9,0,,The support team clearly knows the product inside out.
C00009,Ironclad Works,SaaS,APAC,Growth,25,1459.8,2023-10-10,2026-08-27,0,8,0,,"One outage this quarter, communicated well."
C00010,Solstice Partners Co,Retail,APAC,Starter,9,257.36,2025-06-28,2026-05-28,4,6,1,Company downsized,Too expensive compared with the alternatives we evaluated. It has been a disappointing year.
C00011,Redwood Works,Retail,APAC,Enterprise,118,10502.26,2023-04-10,2026-08-16,3,6,0,,Exports randomly fail with no error message. Frustrating overall.
C00012,Redwood Analytics Ltd,Logistics,EMEA,Starter,11,304.88,2026-05-23,2026-05-24,3,4,1,Too expensive,Pricing jumped at renewal and nobody warned us. We are evaluating alternatives.
C00013,Falcon Networks,Education,NA,Enterprise,314,24623.19,2024-11-01,2026-08-16,3,9,0,,Adoption was instant; people actually enjoy using it. Highly recommended.
C00014,Summit Retail Ltd,Manufacturing,EMEA,Starter,6,167.96,2024-09-26,2026-08-23,0,8,0,,Covers our core needs; advanced reporting is limited. Some room for improvement.
C00015,Aurora Digital,Retail,NA,Starter,3,88.35,2024-04-04,2026-05-21,2,5,1,Budget cuts,The per-seat model punishes us every time we onboard a contractor. Frustrating overall.
C00016,Tidewater Health Co,Fintech,NA,Starter,3,91.47,2026-05-12,2026-07-28,11,1,1,Company downsized,Overage charges were a nasty surprise on the invoice.
C00017,Beacon Dynamics Co,Healthcare,NA,Enterprise,190,15566.07,2024-06-19,2026-04-19,1,8,1,Reliability issues,The mobile app lags behind the web app. Happy enough to stay for now.
C00018,Quantum Robotics,SaaS,APAC,Enterprise,220,19856.92,2023-06-06,2026-08-23,1,7,0,,Uptime is fine; performance on large filters could improve.
C00019,Northwind Networks,Manufacturing,EMEA,Growth,53,2911.27,2024-12-20,2026-06-15,0,8,1,Too expensive,Costs are acceptable for what we use today.
C00020,Solstice Robotics Ltd,Healthcare,LATAM,Starter,9,259.79,2025-01-23,2026-08-18,1,8,0,,Uptime is fine; performance on large filters could improve.
C00021,Nimbus Robotics Ltd,Manufacturing,LATAM,Starter,10,280.14,2025-08-09,2026-08-19,3,6,0,,Escalations go nowhere; we had to chase our account manager repeatedly. Would not recommend at this point.
C00022,Evergreen Systems LLC,Fintech,APAC,Starter,6,187.58,2024-09-25,2026-08-23,1,10,0,,Support even helped us design our dashboards. Highly recommended.
C00023,Cobalt Digital Ltd,Logistics,NA,Starter,3,86.48,2023-12-24,2026-08-26,2,6,0,,Response times got noticeably worse over the last quarter. It has been a disappointing year.
C00024,Redwood Retail,Media,APAC,Starter,3,82.36,2023-01-04,2026-08-12,2,8,0,,Would prefer usage-based pricing over per-seat.
C00025,Granite Learning Co,Manufacturing,APAC,Growth,53,3194.0,2026-06-12,2026-08-11,4,5,0,,Data was missing for two days and nobody told us why. Would not recommend at this point.
C00026,Vertex Studio Ltd,SaaS,APAC,Growth,25,1498.23,2023-09-04,2026-08-14,0,8,0,,Reports are a bit slow at month end. Some room for improvement.
C00027,Cobalt Media,Retail,NA,Enterprise,230,19972.94,2024-03-23,2026-08-28,2,6,0,,The price per seat is hard to justify for a team our size.
C00028,Sable Partners,SaaS,NA,Growth,42,2459.55,2023-07-15,2026-08-23,0,5,0,,Data was missing for two days and nobody told us why.
C00029,Beacon Health,SaaS,LATAM,Starter,7,207.99,2023-10-28,2026-08-23,1,8,0,,"The annual discount helped, monthly pricing feels steep. Some room for improvement."
C00030,Pioneer Systems Co,Education,NA,Growth,44,2508.43,2023-03-19,2026-08-31,0,8,0,,"Reliable overall, exports could be faster."
C00031,Ember Works GmbH,Manufacturing,NA,Starter,11,319.69,2024-03-10,2026-08-21,1,9,0,,Cheaper than what we replaced and far more capable.
C00032,Mosaic Partners Inc,Logistics,EMEA,Growth,32,1807.37,2026-04-24,2026-08-20,2,7,0,,The help center is good; live support is average. We will see how the next release goes.
C00033,Ember Robotics,Fintech,NA,Growth,49,2684.96,2023-10-13,2026-08-16,0,9,0,,Adoption was instant; people actually enjoy using it.
C00034,Windmill Supply Ltd,Retail,NA,Starter,5,144.88,2026-05-16,2026-05-17,0,10,1,Budget cuts,"Great value for the price, especially on the annual plan. Would buy again without hesitation."
C00035,Redwood Systems Co,Retail,LATAM,Starter,8,233.11,2025-03-19,2026-04-02,4,8,1,Reliability issues,"Mostly stable, with the occasional slow dashboard. Some room for improvement."
C00036,Evergreen Networks,SaaS,APAC,Enterprise,175,14492.51,2026-02-11,2026-08-25,0,6,0,,The Salesforce integration breaks every other week.
C00037,Meridian Health LLC,SaaS,APAC,Growth,26,1564.95,2025-03-02,2026-08-28,0,7,0,,Documentation is solid but a guided setup call would have helped. Overall it is fine.
C00038,Mosaic Digital GmbH,Retail,NA,Growth,34,1903.03,2026-06-15,2026-08-05,4,4,0,,Reporting is too rigid; we ended up exporting to spreadsheets anyway.
C00039,Crescent Capital,Fintech,NA,Growth,74,4193.38,2024-12-04,2026-08-27,2,6,0,,The setup wizard failed twice and we gave up on the advanced features.
C00040,Mosaic Dynamics,Education,NA,Growth,21,1270.7,2025-11-25,2026-03-31,4,3,1,Switched to competitor,The roadmap items we were promised never shipped. It has been a disappointing year.
C00041,Cobalt Robotics Ltd,Retail,EMEA,Starter,7,219.24,2023-02-17,2026-08-22,0,8,0,,"The annual discount helped, monthly pricing feels steep. We will see how the next release goes."
C00042,Beacon Media Co,Media,NA,Growth,20,1229.68,2026-04-04,2026-08-16,2,6,0,,Escalations go nowhere; we had to chase our account manager repeatedly. It has been a disappointing year.
C00043,Solstice Retail,Education,APAC,Enterprise,150,12517.86,2023-01-24,2026-08-27,1,7,0,,We like the dashboards but want more automation.
C00044,Mosaic Dynamics Co,Fintech,LATAM,Starter,11,324.78,2023-09-10,2026-08-20,0,7,0,,We are still ramping up usage across the team.
C00045,Zenith Learning,Media,EMEA,Starter,10,306.39,2025-07-31,2026-08-25,1,6,0,,The forecasting module is too simplistic for our use case.
C00046,Northwind Systems Ltd,Manufacturing,NA,Growth,20,1135.16,2023-11-24,2026-08-16,1,6,0,,Escalations go nowhere; we had to chase our account manager repeatedly.
C00047,Redwood Media GmbH,Retail,NA,Growth,77,4565.4,2023-02-23,2026-08-13,2,8,0,,Costs are acceptable for what we use today.
C00048,Ember Networks,Fintech,NA,Starter,4,112.41,2026-01-04,2026-08-25,2,9,0,,Webhooks are reliable and easy to configure.
C00049,Riverbend Software Ltd,Education,NA,Growth,21,1283.62,2024-10-16,2026-08-22,3,5,0,,Response times got noticeably worse over the last quarter. Renewal is unlikely.
C00050,Quantum Dynamics GmbH,SaaS,EMEA,Growth,22,1298.34,2024-09-03,2026-08-21,1,8,0,,"Decent value, though we keep an eye on seat costs."
C00051,Windmill Systems,SaaS,NA,Growth,44,2409.36,2024-02-08,2026-08-27,2,5,0,,"A competitor offered everything we needed at a lower price, so we switched."
C00052,Harbor Networks,SaaS,EMEA,Starter,8,219.91,2025-07-03,2026-08-30,0,8,0,,Pricing is fair but the Growth tier is a big jump from Starter. Some room for improvement.
C00053,Aurora Works GmbH,Manufacturing,APAC,Starter,10,300.53,2024-02-06,2026-08-16,1,10,0,,Pricing is transparent and scales sensibly with our team.
C00054,Zenith Systems LLC,Education,NA,Starter,12,330.07,2024-12-17,2026-08-30,4,7,0,,Integrations cover the basics; we still miss a native Jira connector.
C00055,Falcon Works,Education,NA,Enterprise,171,13559.21,2023-06-16,2026-08-31,4,6,0,,The mobile app crashes whenever we open a large report. We are evaluating alternatives.
