order_id,customer_id,order_date,city,state,category,product,quantity,unit_price,discount_pct,shipping_days,returned,rating,review_text
O100001,U13443,2025-01-01,Omaha,NE,Electronics,Wireless Earbuds Pro,4,132.73,0,2,0,4,Excellent sound and battery lasts for days.
O100002,U12471,2025-01-01,San Diego,CA,Sports & Outdoors,Cycling Helmet,1,66.39,0,2,0,4,Durable and comfortable on long runs. Fast shipping.
O100003,U11225,2025-01-01,Boston,MA,Apparel,Leather Ankle Boots,2,149.66,15,5,0,3,"Fits okay after washing, average overall."
O100004,U10295,2025-01-01,Atlanta,GA,Electronics,Portable Power Bank 20k,1,41.19,0,1,0,3,"Works as described, setup was fiddly."
O100005,U11442,2025-01-01,Seattle,WA,Toys & Games,Plush Dinosaur,2,20.02,20,8,0,3,"Okay, batteries drain fast. Shipping took forever."
O100006,U11317,2025-01-01,Houston,TX,Electronics,Smart Home Speaker,1,84.05,0,2,0,4,Build quality is superb.
O100007,U12622,2025-01-02,Dallas,TX,Home & Kitchen,Robot Vacuum,3,278.9,0,4,0,3,Does what it says.
O100008,U11125,2025-01-02,New York,NY,Home & Kitchen,Air Fryer 5qt,1,99.94,0,5,0,5,"Sturdy, beautiful and works perfectly."
O100009,U10331,2025-01-02,San Jose,CA,Electronics,Action Camera Mini,1,189.38,0,3,0,3,"Works as described, setup was fiddly."
O100010,U12041,2025-01-02,Houston,TX,Apparel,Classic Denim Jacket,1,80.1,0,4,0,3,"Nice color, fabric thinner than expected."
O100011,U11963,2025-01-02,New York,NY,Beauty,Vitamin C Serum,2,31.69,20,1,0,2,Packaging was damaged and the pump does not work.
O100012,U10377,2025-01-02,Philadelphia,PA,Home & Kitchen,Robot Vacuum,2,262.06,0,5,0,3,Does what it says.
O100013,U11532,2025-01-02,Boston,MA,Apparel,Waterproof Rain Shell,1,123.22,20,8,1,3,"Decent quality, a bit tight around the waist."
O100014,U11070,2025-01-02,New York,NY,Apparel,Running Tights,1,54.61,0,5,0,3,"Decent quality, a bit tight around the waist."
O100015,U10884,2025-01-02,Boise,ID,Electronics,Portable Power Bank 20k,1,36.47,40,7,0,4,Exceeded expectations. Took over a week to arrive.
O100016,U13220,2025-01-02,Detroit,MI,Sports & Outdoors,Camping Tent 2P,1,137.23,0,5,0,4,Durable and comfortable on long runs.
O100017,U10346,2025-01-02,New York,NY,Beauty,Electric Toothbrush,1,69.9,20,4,0,4,Skin feels noticeably smoother.
O100018,U13119,2025-01-02,Memphis,TN,Electronics,Smart Home Speaker,2,94.05,0,2,0,4,Excellent sound and battery lasts for days. Delivered in two days.
O100019,U12650,2025-01-02,San Diego,CA,Sports & Outdoors,Camping Tent 2P,1,126.11,0,2,0,5,"Great gear, worth every penny. Arrived quickly."
O100020,U10267,2025-01-02,New York,NY,Home & Kitchen,Ceramic Dinnerware Set,1,87.48,0,4,0,3,Does what it says.
O100021,U13378,2025-01-02,Chicago,IL,Electronics,Mechanical Keyboard,2,103.18,10,3,0,4,Build quality is superb.
O100022,U10183,2025-01-02,New York,NY,Apparel,Slim Fit Chinos,1,59.07,40,5,0,3,"Decent quality, a bit tight around the waist."
O100023,U12316,2025-01-02,Houston,TX,Toys & Games,STEM Robotics Kit,2,88.85,30,2,0,4,Hours of fun for the whole family. Delivered in two days.
O100024,U11924,2025-01-02,Jacksonville,FL,Sports & Outdoors,Trail Running Shoes,2,111.97,15,5,0,3,Okay quality for the price.
O100025,U10017,2025-01-03,Indianapolis,IN,Apparel,Classic Denim Jacket,3,81.05,0,7,0,2,Fabric feels cheap and the color faded immediately. Shipping took forever.
O100026,U10836,2025-01-03,Los Angeles,CA,Beauty,Vitamin C Serum,3,32.71,0,5,0,5,Lovely packaging and product.
O100027,U11137,2025-01-03,Phoenix,AZ,Home & Kitchen,Ceramic Dinnerware Set,3,94.46,0,2,0,4,Exactly what our kitchen needed. Arrived quickly.
O100028,U11355,2025-01-03,Houston,TX,Beauty,Electric Toothbrush,1,66.13,0,6,0,4,Lovely packaging and product.
O100029,U13492,2025-01-03,Charlotte,NC,Home & Kitchen,Bamboo Cutting Board Set,1,28.51,10,3,0,5,Exactly what our kitchen needed.
O100030,U12355,2025-01-03,Memphis,TN,Apparel,Running Tights,1,46.94,40,3,0,3,Looks good but wrinkles easily.
O100031,U12816,2025-01-03,Los Angeles,CA,Apparel,Merino Wool Sweater,1,95.31,10,3,0,3,"Decent quality, a bit tight around the waist."
O100032,U12190,2025-01-03,San Diego,CA,Home & Kitchen,Cold Brew Coffee Maker,1,35.75,20,1,0,5,"Solid build, highly recommend."
O100033,U12564,2025-01-03,New York,NY,Electronics,Smart Home Speaker,2,88.41,50,3,0,4,Exceeded expectations.
O100034,U13080,2025-01-03,Boston,MA,Electronics,Smart Home Speaker,1,85.47,0,5,0,4,Build quality is superb.
O100035,U10001,2025-01-04,Phoenix,AZ,Electronics,Mechanical Keyboard,5,105.07,25,7,0,5,"Setup took two minutes, flawless since. Shipping took forever."
O100036,U12160,2025-01-04,Boise,ID,Beauty,Beard Grooming Kit,2,38.49,10,5,0,4,Skin feels noticeably smoother.
