id,name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365,description,accommodates,bedrooms,review_scores_rating
958,"Bright, Modern Garden Unit - 1BR/1BTH",Western Addition,Entire home/apt,402,2,507,228,Our bright garden unit overlooks a lovely backyard area with fruit trees and native plants. It is an oasis in a big city. The apartment comfortably fits a couple or small family. It is located on a cul de sac street that ends at lovely Duboce Park.,3,1.0,4.88
5858,Creative Sanctuary,Bernal Heights,Entire home/apt,298,30,105,365,"We live in a large Victorian house on a quiet street, nestled between the Mission district and Noe Valley. We're one block from the streetcar stop and five blocks from the subway. We have two bedrooms which have double beds and windows which cast their light upon the warm colored walls and ceilings of this haven. We have lots of spaces in the house where you can relax, read, listen to music and just cozy up. The kitchen is well stocked and we have a bountiful garden and back deck.",4,2.0,4.87
8142,*FriendlyRoom Apt. Style -UCSF/USF - San Francisco,Haight Ashbury,Private room,136,32,10,362,"Nice and good public transportation. 7 minutes walk to UCSF. 15 minutes walk to USF, ST Mary Hospital Room rental-sunny view room/sink/Wi Fi (inner sunset / UCSF) (map) The place is located within walking distance to Golden Gate Park, UCSF & USF",1,3.0,4.7
8339,Historic Alamo Square Victorian,Western Addition,Entire home/apt,399,9,25,339,"For creative humans who love art, space, photography, design, history.. Beautiful natural light. Curated design and furniture. Photo location. Private upper-unit full-floor flat/apt in a two-unit building. Fashion and lifestyle brands + content creators who chose our space for their ad campaigns and creative projects: Airbnb Google Everlane Blue Bottle Feather Fellow Freda Salvador ThirdLove Rothys Rejuvenation Banana Republic Nest Scandinavian Designs Domino Magazine Year & Day Minted +",2,1.0,4.86
10537,Elegant & Cozy w/City views. Private room: Purple,Bayview,Private room,58,1,46,365,"Casa de Paz (House of Peace) is like staying with family! If you want to experience San Francisco like a local...instead of feeling like a tourist, this is the place for you. Here you will wake up in your own peaceful room, with a view of San Fra",2,1.0,4.98
10578,Classic Nob Hill Studio - Roof Deck,Nob Hill,Entire home/apt,267,30,18,303,"A cute studio with nice street views and lots of light and easy access to a shared roof deck with awesome Golden Gate views. Great, classic ""Old Frisco"" neighborhood. New double-pane windows help keep out the sounds of the city.",2,0.0,4.93
11490,Cozy Nob Hill Nook,Nob Hill,Private room,175,30,43,90,"Rare gem of an apartment in beautiful Nob Hill. - Fully furnished, turn key - ready for you to come on in - you have 1 bedroom with queen bed + desk - 2nd bedroom is not used often by owners as we live in Florida part time - may be back here and there.",2,1.0,4.78
12041,Sunny/Sunset view room UCSF/USF - San Francisco,Haight Ashbury,Private room,77,32,7,365,"Nice and good public transportation. 7 minutes walk to UCSF. 15 minutes walk to USF, ST Mary Hospital Room rental-sunny view room/sink/Wi Fi (inner sunset / UCSF) (map)",1,1.0,4.0
12042,Sunny/Sunset view room UCSF/USF - San Francisco*,Haight Ashbury,Private room,76,32,7,365,"Settle down, S.F. resident, student, hospital, job relocated, rotation. Monthly rental, short term staying - Nice public transportation location. No tourist or transient. No pet no smoking no party inside the building.",1,1.0,3.71
12522,Perfectly located Castro,Castro/Upper Market,Private room,131,3,522,36,"1895 Victorian flat w/ 12 ft ceilings. (No Long Term Rentals and street parking is available at your own risk) Close to The Mission, & 2.5 blocks from Castro theater. MUNI public transportation is 3 blocks away. Room is a garden view, quiet space and great value for one of the most expensive neighborhoods in the US!",2,1.0,4.93
18231,Loft-like Apt./Garden,Noe Valley,Entire home/apt,453,30,73,182,"Located on 26th St. in wonderful Noe Valley, this beautifully large furnished open apartment (540 square feet) with separate street level entrance in a two unit building. We live in the upstairs unit. Four windows open onto the quiet rear of the house and a private entrance to a private beautifully landscaped garden.",3,0.0,4.85
18904,Lower Haight Urban Zen With Private Bath,Western Addition,Private room,178,2,520,49,"Welcome to the Lower Haight! My neighborhood and the surrounding areas are filled with cafes, restaurants, bars, shops, and salons. Spend the day walking around and sampling local flavor, or grab a blanket and spend an afternoon in one of the nearby parks... Alamo Square Park, Duboce Park, Dolores Park, or Golden Gate Park.",2,1.0,4.89
21334,Studio loft on top of Russian Hill,Nob Hill,Entire home/apt,386,30,126,365,This charming apartment was the library in a Pre-1906 earthquake sea captain's home that has since been converted into a studio loft. Michael Douglas lived here while filming “Streets of San Francisco” in the seventies. Book a true SF Experience!,2,1.0,4.88
24111,Charming 2 Bd Rm Ocean View,Parkside,Entire home/apt,333,120,0,365,Charming 2 Bd Rm Ocean View,3,2.0,
24463,"NEST of Potrero Hill - Quiet, Stylish & Convenient",Potrero Hill,Private room,153,2,419,254,"Comfortable, quiet private guest room, with own private bath, in well-appointed, sunny and stylish, modern townhouse. Convenient for business and vacation travelers. Atop one of the famous San Francisco hills, in the very desirable Potrero Hill neighborhood, with Dogpatch just steps away. Near to terrific restaurants, shops, Chase Center, UCSF Mission Bay, Oracle Park, and Piers 70 & 80. Great views! Sunniest weather! Easy close-by public transportation & free street parking.",2,1.0,4.91
24723,"Guest Suite in PacHeights, Japantown & Fillmore St",Pacific Heights,Entire home/apt,457,5,517,197,"Our one-bedroom basement space comes with a large bedroom with a California king-size bed, a living room with a queen sofa bed, and a full bath and a wet bar with a compact refrigerator/freezer, microwave, mini dishwasher, toaster oven & sink. We don't recommend the place for four adults (the sofa bed can feel cramped) but it's great for people traveling with young kids. We live upstairs and try to be quiet but you may hear us.",4,1.0,4.86
25094,San Francisco's Luxury Oasis Private Room On Noe,Glen Park,Private room,139,5,81,346,"Come enjoy a wonderful experience with a native San Franciscan and his Spanish speaking Cuban husband. Alfredo is the cook, I take out the garbage! Our mission is to make sure our home is your home while you are visiting our city by the bay. Located on a quiet one way street in Glen Park bordering Upper Noe Valley, 2 great walkable neighborhoods with easy access to BART and MUNI, 20 minutes from SFO. Come to our Oasis on Noe! It will be our pleasure to welcome you!",2,1.0,4.98
26488,Embarcadero High Rise with Views!,Financial District,Entire home/apt,318,360,48,365,Embarcadero High Rise with Views!,2,1.0,4.86
29557,gigi's bed and breakfast,Outer Richmond,Entire home/apt,366,2,145,315,"This a private 800 sq ft apartment without a full kitchen, it is at garden level. I live above on street level. The garden is shared space. There are books and movies available free WiFi and lots of room to spread out. You will be my only guests so you get my full attention. Breakfast is a generous continental style delivered to your door in the morning. It includes pastry fresh OJ fruit plate and yogurt all subject to change to meet your dietary restrictions.",4,1.0,4.97
32414,"Cozy, Sunny and Private Space",Bernal Heights,Entire home/apt,286,30,93,337,"Conveniently located on Cortland Avenue - the heart of Bernal Heights - with easy freeway access to Highways 101 and 280, 15 minutes from San Francisco International Airport, and about 10 minutes from downtown by car. At the moment, we are only doing monthly rentals.",2,2.0,4.81
33578,Potrero Hill Garden Lookout,Potrero Hill,Entire home/apt,293,1,835,355,"**Please note that the garden is shared! No partying, using the garden as a personal gym, and no pets or unvaccinated guests etc. Your respect of our shared garden space is very much appreciated. The Garden Lookout has a small fridge, microwave, tea kettle and coffee maker. No cooking. No pets.",2,1.0,4.96
38935,Sunny Room with Private Bathroom – The Mission,Mission,Private room,99,3,45,0,"I will be your live-in host, and am happy to share any tips for your travels in San Francisco. The space is a 2-bedroom condominium in the Mission District. The bedroom is furnished with a queen bed, a small desk and chair (though the desk and chair won't be comfortable to work from all day). Your bedroom is connected to a private bathroom that is for you only.",1,,4.98
39418,"Comfortable Home Base, Bernal Heights, great area!",Bernal Heights,Entire home/apt,261,60,28,23,"You will love staying in this great apartment on the west slope of Bernal Heights, intersecting the Mission, Noe Valley and close to the Valencia Corridor and Glen Park. Become a San Franciscan while enjoying village life!",1,0.0,4.93
40092,Cute Private Apt in the hip Mission,Mission,Entire home/apt,285,30,108,260,"Live right around the corner from amazing restaurants, cafes, shopping in one of the most walkable neighborhoods in San Francisco. Wanna play tennis or people watch in the park—take a short stroll to Dolores Park. Want to catch the latest Christopher Nolan movie?—Alamo Draft house is 3 blocks away. Want the best ice cream in SF?—Bi Rite Creamery got you covered. Feel like having top notch Indian, Mexican, Sushi, Ethiopian, Italian, Greek, Burmese, or Salvadoran food?—All of it is walkable :)",2,1.0,4.64
41423,Guest Cottage - SF,Glen Park,Entire home/apt,206,30,160,335,"Try out city living in a real SF neighbourhood. Our guest cottage is situated just uphill from the center of Glen Park Village, located in the middle of San Francisco.",2,0.0,4.47
41609,Spacious Quiet SF Downtown Work-From-Home Retreat,Downtown/Civic Center,Entire home/apt,283,30,30,289,"Extremely spacious, light and modern one bedroom apartment with a dedicated work space in the energetic Nob Hill neighborhood of San Francisco. You are walking distance from Saint Francis Memorial Hospital, Union Square, the Financial District, China Town, SoMa, Civic Center and other major attractions (and for movie buffs: many film locations from Vertigo and other movies).",2,1.0,4.97
42060,Duboce park Edwardian apartment.,Western Addition,Entire home/apt,378,60,10,0,"Minimum stay of approximately 60-90 nights, we are looking for a longer term guest between March and May 2025. Comfortable 1 bed 1 bath top floor apartment in the middle of great San Francisco neighborhoods. Walking distance to Upper and Lower Haight, Alamo Square, the Mission, The Castro, The Fillmore etc or catch the muni down town and be there in 10 mins.",2,1.0,5.0
44032,The Mission-100% Private,Mission,Entire home/apt,336,30,304,77,"The Mission District has it all-restaurants, cafes, parks, nightlife, shops, no hills, public transportation and the most sun and fun in San Francisco. The Secret Lounge is your 100% private pied-à-terre from which to experience it all.",2,1.0,4.84
45299,Private Castro Studio with king sized bed,Castro/Upper Market,Entire home/apt,324,3,180,20,This private studio apartment has a king-sized bed and private bath in a superb location includes access to courtyard and private sauna. Within a block of Castro's nightlife where 9 transit lines converge taking you anywhere in the city.,2,0.0,4.65
46060,The Urban Oasis IV,Castro/Upper Market,Private room,130,30,17,113,"We have been successfully hosting for over 15 years! This is a shared flat with other working professionals in the heart of the city with a large eat-in central kitchen, split/ shared bath and backyard with views of Twin Peaks in the vibrant Castro District one block from Dolores Park.",1,1.0,4.75
47486,Beautiful Historical Location. EZ parking.,Ocean View,Entire home/apt,303,30,33,62,"Historic Sundial location. Private Entrance. Large Bedroom Suite, (about 700 sq. Ft.) with a recent top-end remodel of the entire space. Great for a couple or sleeping available for two individuals. One Queen Bed & top-end queen sleeper couch. Walk-in closet, 2nd walk-in closet, or can be used for private office. Pamper yourselves, Toto washlet, rain shower-head. Drive up & park, what else could you ask for in SF! Easy drive to Silicon Valley, We are great hosts! Damage fee $500, refundable",2,1.0,4.85
47682,One-bedroom apt. Lafayette Park,Pacific Heights,Entire home/apt,431,30,39,258,One-bedroom apt. Lafayette Park,2,2.0,4.88
51557,Centrally Located Victorian Apartment,Western Addition,Entire home/apt,292,183,109,358,"A centrally-located classic San Francisco Victorian apartment. All major transit lines cross within 2 blocks of the apartment. Super easy access to anywhere in the City. Great neighborhood for shopping, small cafes and restaurants. Perfect for corporate or longer term stays. Welcome to San Francisco. I think you'll love the apartment as much as I do. Len",2,1.0,4.89
51773,Prime Location - Very Small Cozy Room,Pacific Heights,Private room,122,30,168,179,Prime Location - Very Small Cozy Room,1,1.0,4.61
54518,Classic Downtown San Francisco,Financial District,Entire home/apt,415,30,25,315,Classic San Francisco. Architecture! Live in a sophisticated apartment. Appointed for corporate and temporary stays. Conveniently located on the corner of Sansome and Pine Streets. Across from The Four Seasons Hotel. This property is licensed and permitted for ILO occupancy with the City of San Francisco. Beware of non licensed units. SF Building Department enforcement may be grounds for cancellation or eviction.,2,1.0,4.54
54634,Studio Apartment Lafayette Park,Pacific Heights,Entire home/apt,539,30,53,179,Studio Apartment Lafayette Park,2,1.0,4.74
55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",Outer Richmond,Entire home/apt,280,30,13,313,"Recently Remodeled, new furniture, all new appliances, new washer/dryer, very spacious open plan living room, dining room and kitchen. The best advertisement is testimonials from previous Guests, We have received all 5 star reviews, 100% of guests would stay again. Location, Location, Location, Four blocks to Golden Gate Park, Five blocks to the Presidio, Close to Ocean Beach and China Beach. Express bus stop right outside the apartment will have you downtown in 20 minutes.",4,1.0,4.77
55636,"❤️ Super luxury Apt, Great View, 5 Star Reviews",Twin Peaks,Entire home/apt,297,30,34,314,"Twin Peaks has the best view in the whole city. The best advertisement is testimonials from previous tenants, we have received all 5 star reviews, 100% of tenants would stay again.",4,1.0,4.81
57561,"Bernal Heights Apartment, Patio + Parking",Bernal Heights,Entire home/apt,214,30,238,321,Private apartment (one bedroom) in the sunny Bernal Heights district of San Francisco. Access to beautiful backyard patio.,2,1.0,4.65
57676,"Bartlett Gardens: Spacious, bright!",Mission,Private room,124,30,121,0,"Welcome to our home! You will be living with Seb and I as well as two roommates. Large, private room in a long established Airbnb home. We are proud to have been hosting with Airbnb since 2010; we've built a community of current/returning guests.",1,,4.71
59831,Lovely quiet private room in Home,Outer Sunset,Private room,73,60,1,0,Lovely quiet private room in Home,2,1.0,1.0
60101,5BD Bernal Heights Urban Getaway Near 101/280,Bernal Heights,Entire home/apt,736,4,28,38,"Strictly for NON-SMOKERS/Non Vapers. Looking for a place for your family in San Francisco? Our place is centrally located in Bernal Heights near Cortland St, with amazing street parking near the highways, Muni and 1+ mile walk to BART. Best of all, you can take a morning hike with great vistas. A TV is available for you to add your own streaming services. A second TV may be used to plug in a laptop (but it's not self-intuitive how to use). We use it do to yoga.",9,5.0,5.0
60365,"Charming Victorian 3-Bdrms-2Ba, Parking, Location!",Western Addition,Entire home/apt,422,30,265,213,"1890 renovated Victorian, an authentic San Francisco experience. Centrally located 3 bdms, 2 ba, fully equipped kitchen, laundry, cozy backyard w dining & new BBQ grill. Gorgeous views of downtown from front terrace. Walk to Haight-Ashbury, Golden Gate Park, the Castro, Alamo Square (Painted Ladies), Hayes Valley. Walk to grocery, cafes & restaurants. Great urban hiking from house. Buses and subway within 2 blocks. Free parking at the house, see full description for details.",4,3.0,4.88
